               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11314,            0.030199,            0.028082,            0.002877,             0.60805,           0.0071385,           0.0019469,            0.085825,            0.020126,             0.02408,              0.0838,              0.0018,              0.0018
                   1,            0.079463,            0.030376,             0.02317,           0.0034562,             0.74052,            0.064517,            0.019015,            0.061962,            0.019028,            0.019316,            0.066578,           0.0035779,           0.0035779
                   2,            0.066606,             0.02977,            0.017016,             0.69051,             0.25974,             0.19767,            0.083819,            0.056639,            0.016401,            0.012747,             0.04923,           0.0052304,           0.0052304
                   3,            0.062194,            0.026379,            0.011696,             0.70384,             0.20561,             0.22314,             0.10408,            0.055701,            0.014519,            0.011975,            0.031758,           0.0067575,           0.0067575
                   4,            0.059167,            0.023504,            0.008962,             0.82668,             0.22078,             0.27525,             0.13961,            0.056262,            0.012534,           0.0069519,            0.014159,           0.0081592,           0.0081592
                   5,            0.055873,            0.022339,           0.0079458,             0.79071,             0.28571,             0.28555,             0.12958,            0.056987,              0.0125,           0.0049548,             0.00835,             0.00835,             0.00835
                   6,            0.055489,            0.023333,           0.0072547,             0.38975,              0.5026,             0.43251,             0.18124,            0.051287,            0.012496,           0.0041266,             0.00835,             0.00835,             0.00835
                   7,            0.050931,            0.021615,           0.0057489,             0.28913,             0.69455,             0.47463,             0.24569,            0.046394,            0.012876,           0.0032642,             0.00802,             0.00802,             0.00802
                   8,            0.047709,            0.020841,           0.0064289,             0.26125,             0.53506,             0.36673,             0.21354,            0.049281,            0.011513,           0.0029478,             0.00769,             0.00769,             0.00769
                   9,            0.046676,            0.019531,           0.0045214,             0.40831,             0.52805,             0.43456,             0.21838,            0.039829,             0.01113,           0.0019562,             0.00736,             0.00736,             0.00736
                  10,            0.044193,            0.018447,           0.0053898,             0.69054,             0.65403,             0.69379,             0.37575,            0.034913,            0.010473,           0.0016293,             0.00703,             0.00703,             0.00703
                  11,            0.041267,             0.01861,           0.0042293,             0.48949,             0.64805,             0.54933,             0.33318,            0.037946,            0.010287,           0.0019182,              0.0067,              0.0067,              0.0067
                  12,            0.039811,            0.019049,           0.0044308,              0.4883,             0.76131,             0.57113,             0.30044,            0.037882,           0.0096766,           0.0017582,             0.00637,             0.00637,             0.00637
                  13,            0.037113,            0.017744,           0.0033094,             0.58666,             0.79455,             0.70541,              0.4776,            0.034541,           0.0091175,           0.0016314,             0.00604,             0.00604,             0.00604
                  14,            0.036295,            0.018234,           0.0031835,             0.74632,             0.83403,              0.8029,             0.51003,            0.031355,            0.009035,           0.0013953,             0.00571,             0.00571,             0.00571
                  15,            0.036636,            0.016353,           0.0057435,              0.6231,             0.71734,             0.63998,             0.38972,            0.034609,            0.010276,           0.0015351,             0.00538,             0.00538,             0.00538
                  16,             0.03436,             0.01611,           0.0030816,             0.72953,             0.72805,             0.72793,             0.48705,            0.031788,           0.0099688,           0.0014049,             0.00505,             0.00505,             0.00505
                  17,            0.034207,            0.016745,           0.0034033,             0.85827,             0.68023,             0.78096,             0.52964,            0.026947,           0.0087839,           0.0011637,             0.00472,             0.00472,             0.00472
                  18,            0.030726,            0.016718,           0.0028289,             0.78294,             0.86104,             0.85513,             0.58011,            0.027979,           0.0081366,           0.0015719,             0.00439,             0.00439,             0.00439
                  19,            0.031722,            0.015692,           0.0020011,             0.79276,             0.84753,             0.83304,              0.5744,            0.027118,           0.0084552,           0.0014713,             0.00406,             0.00406,             0.00406
                  20,            0.031914,            0.016138,           0.0017702,             0.85552,             0.89163,             0.88842,             0.59981,            0.025975,           0.0082351,          0.00095342,             0.00373,             0.00373,             0.00373
                  21,            0.030254,             0.01512,           0.0024592,             0.78952,             0.86959,             0.84033,             0.58306,            0.026481,           0.0079754,          0.00080999,              0.0034,              0.0034,              0.0034
                  22,            0.029574,             0.01489,           0.0027318,              0.7996,             0.90052,              0.8554,              0.5681,            0.025388,            0.008007,           0.0012577,             0.00307,             0.00307,             0.00307
                  23,            0.028911,            0.015193,             0.00297,             0.81077,             0.82413,             0.85067,              0.5985,             0.02541,           0.0077365,           0.0013119,             0.00274,             0.00274,             0.00274
                  24,            0.026618,            0.015186,           0.0023901,             0.79839,             0.86104,             0.85439,             0.57413,            0.024751,           0.0078859,          0.00092212,             0.00241,             0.00241,             0.00241
                  25,            0.025826,            0.014676,           0.0021097,             0.77548,             0.90869,             0.86904,             0.61931,            0.024475,           0.0076806,          0.00064511,             0.00208,             0.00208,             0.00208
                  26,            0.025522,            0.014947,           0.0015561,             0.82138,             0.85403,             0.87244,              0.6328,            0.023375,           0.0075739,          0.00061804,             0.00175,             0.00175,             0.00175
                  27,            0.025487,            0.014069,           0.0017381,             0.91901,             0.80778,             0.88522,             0.64198,            0.022935,           0.0075799,          0.00061462,             0.00142,             0.00142,             0.00142
                  28,            0.023615,            0.013778,           0.0020709,             0.91676,             0.78932,             0.89044,              0.6475,            0.022674,           0.0075239,          0.00054447,             0.00109,             0.00109,             0.00109
                  29,            0.025356,            0.013298,           0.0012321,             0.87963,             0.86912,             0.91872,                0.65,            0.021903,            0.007676,          0.00046109,             0.00076,             0.00076,             0.00076
